title,price,category,gender,img_url,product_url
Martina Store Stylish Women Hoodie - White,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/673415/1.jpg?2664,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-white-51437690.html
V A L Y A Stylish Women Hoodie Round Neck - White,EGP 249.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/2350431/1.jpg?9863,https://www.jumia.com.eg/v-a-l-y-a-stylish-women-hoodie-round-neck-white-134053275.html
Caesar Woman Hoodie With Zipper Pocket,EGP 299.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/210492/1.jpg?2531,https://www.jumia.com.eg/caesar-woman-hoodie-with-zipper-pocket-29401237.html
LC Waikiki Soft Touch Women's Zip-Up Hoodie,EGP 799.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/5170431/1.jpg?4014,https://www.jumia.com.eg/lc-waikiki-soft-touch-womens-zip-up-hoodie-134071591.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-BAIGE,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/9939331/1.jpg?9444,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-baige-133939972.html
Caesar Woman Hoodie With Printed Tape And Zipperon Two Arms,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/057192/1.jpg?1047,https://www.jumia.com.eg/caesar-woman-hoodie-with-printed-tape-and-zipperon-two-arms-29175045.html
LC Waikiki Oversize Crop Women's Hoodie,EGP 499.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/5865331/1.jpg?9661,https://www.jumia.com.eg/lc-waikiki-oversize-crop-womens-hoodie-133568535.html
Caesar Woman Long Hoodie With Printed English Letters,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/057192/1.jpg?1049,https://www.jumia.com.eg/caesar-woman-long-hoodie-with-printed-english-letters-29175051.html
Martina Store Women Hoodie - Dark Grey,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/5031431/1.jpg?2542,https://www.jumia.com.eg/martina-store-women-hoodie-dark-grey-134130548.html
AKAI Cotton Hoodie Sweatshirt First Rate For Womens- Black,EGP 660.00 - EGP 790.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/248123/1.jpg?5792,https://www.jumia.com.eg/akai-cotton-hoodie-sweatshirt-first-rate-for-womens-black-32184281.html
Defacto Woman Slim Fit Long Sleeve Pullover - ECRU,EGP 426.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/3881431/1.jpg?9124,https://www.jumia.com.eg/defacto-woman-slim-fit-long-sleeve-pullover-ecru-134188376.html
Martina Store Stylish Women Hoodie Round Neck - White,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/033974/1.jpg?5852,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-round-neck-white-47933017.html
Caesar Woman Hoodie With Side Zipper And High Neck,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/057192/1.jpg?1049,https://www.jumia.com.eg/caesar-woman-hoodie-with-side-zipper-and-high-neck-29175037.html
V A L Y A Women's Sweatshirt - Stylish White & Green Design,EGP 499.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/3350431/1.jpg?9877,https://www.jumia.com.eg/v-a-l-y-a-womens-sweatshirt-stylish-white-green-design-134053309.html
